V1,V2,iteration,Subject,F1_V1_T1,F1_V1_T2,F1_V1_T3,F1_V1_T4,F1_V1_T5,F1_V1_T6,F1_V1_T7,F1_V1_T8,F1_V1_T9,F1_V1_T10,F2_V1_T1,F2_V1_T2,F2_V1_T3,F2_V1_T4,F2_V1_T5,F2_V1_T6,F2_V1_T7,F2_V1_T8,F2_V1_T9,F2_V1_T10,F3_V1_T1,F3_V1_T2,F3_V1_T3,F3_V1_T4,F3_V1_T5,F3_V1_T6,F3_V1_T7,F3_V1_T8,F3_V1_T9,F3_V1_T10,F2_3_V1_T1,F2_3_V1_T2,F2_3_V1_T3,F2_3_V1_T4,F2_3_V1_T5,F2_3_V1_T6,F2_3_V1_T7,F2_3_V1_T8,F2_3_V1_T9,F2_3_V1_T10,F1_V2_T1,F1_V2_T2,F1_V2_T3,F1_V2_T4,F1_V2_T5,F1_V2_T6,F1_V2_T7,F1_V2_T8,F1_V2_T9,F1_V2_T10,F2_V2_T1,F2_V2_T2,F2_V2_T3,F2_V2_T4,F2_V2_T5,F2_V2_T6,F2_V2_T7,F2_V2_T8,F2_V2_T9,F2_V2_T10,F3_V2_T1,F3_V2_T2,F3_V2_T3,F3_V2_T4,F3_V2_T5,F3_V2_T6,F3_V2_T7,F3_V2_T8,F3_V2_T9,F3_V2_T10,F2_3_V2_T1,F2_3_V2_T2,F2_3_V2_T3,F2_3_V2_T4,F2_3_V2_T5,F2_3_V2_T6,F2_3_V2_T7,F2_3_V2_T8,F2_3_V2_T9,F2_3_V2_T10
i,eʧ͡ʰiɮger,one,f1,321.4345359586,322.9477186702,338.175183091,353.8693239005,363.8409893026,364.8805281611,364.2966977691,437.9937921893,530.4641368784,696.5964653594,2411.7998056188,2502.8362085917,2615.6892509598,2618.0152348149,2633.2433895991,2597.0325487147,2517.4265627257,2368.8444880076,2327.6919711536,2314.2686381586,2989.2352044344,2996.5521804692,2988.5688705986,2985.2880258301,2989.1886464514,2998.6712446861,2983.239496369,2955.4567117795,2898.3298138757,2876.0753116911,2691.7704655158,2758.8585392764,2795.5945050255,2824.0376047637,2826.5671724475,2815.6754269287,2786.1437321465,2692.5674385218,2675.5310240426,2621.6094024479,1464.917599963,871.611973008,610.6311820121,510.7787963771,482.4470035092,476.2620254743,475.0411774764,475.4875119661,476.0722158592,474.0087601852,1863.3555995501,1825.8656978437,1803.6232418166,1775.2160943159,1735.2861433239,1715.2301135646,1715.6918532073,1720.707868389,1743.6373201013,1769.7207263185,3216.7714522492,3079.6827154585,2942.4687454909,2869.5727283337,2785.4659559211,2730.5987079583,2734.4033672638,2752.8903448358,2788.2677885986,2795.5995894286,2605.7879633084,2457.7515539811,2374.2933293854,2320.3443872767,2260.3760496225,2222.9144107614,2225.0476102356,2236.7991066124,2270.2478252793,2307.5166960353
ʊː,aːʦ͡ʊːraːr,one,f1,541.7297750699,520.9177392129,526.8241520791,510.5263881463,472.5454218585,438.4722466616,431.6338214175,431.8194908438,451.7021803519,536.5942103578,1754.8726752981,1466.9804215587,1315.6929090692,1222.8293030596,1119.4766035575,1099.769416154,1031.2438789009,995.0470158136,992.8914946689,1031.8239715415,3124.7406860256,2950.5000547044,2972.2708820026,2967.841100006,2933.3076101745,2927.644894259,2898.4891637189,2849.1968481975,2920.8002026734,2929.7644730838,2518.4541416491,2187.5388694232,2161.8600944945,2097.9839599527,2026.4526911683,2010.3922348697,2001.1003716407,1916.7713669082,1953.70860617,1986.8754236067,635.772889385,655.5350927803,696.1556418704,727.3682435761,771.9150730462,783.6277743497,787.3133997196,793.8389572123,776.3578655839,739.4980882703,1579.6771252684,1351.2453702122,1254.2066200916,1231.5379434012,1358.6868253753,1447.9381810997,1550.1068592531,1609.4787767638,1691.1892061914,1686.0864483175,2743.5389544206,2421.6693756618,2250.3517905802,2278.2398728938,2785.5267978881,3042.0732503615,3045.9445566168,3055.6319550698,3123.0561194309,2983.1399216414,2096.3844253228,1830.8976122676,1732.5428792608,1749.4536578791,2112.4190014352,2247.1991852165,2294.220175601,2330.2325876042,2408.1259108086,2351.2987852635
e,e,one,f1,816.0764344087,713.5603275803,614.6341037716,571.3199823154,528.0058608592,484.691739403,473.2247680045,466.9410774818,460.6573869591,456.8232380132,2320.4627367331,2318.2522793987,2316.0418220643,2313.8313647299,2311.6209073955,2309.4104500611,2301.5501552511,2292.7703215032,2283.9904877552,2278.1196948359,3002.7691556899,3007.8313204971,3012.8934853044,3017.9556501116,3023.0178149189,3028.0799797261,3038.562409908,3049.9270150351,3061.2916201622,3102.1601808851,2682.3740647445,2679.9825027348,2678.0408852293,2683.0695115134,2688.0981377974,2693.1267640814,2698.1553903655,2703.1840166495,2708.2126429335,2717.036723774,365.2098635913,359.1377285753,359.3102011087,359.6594633204,360.1558678819,360.0354812993,359.5692432171,357.3276947726,359.7689779578,367.2182204244,2537.8839613392,2579.8871717896,2594.3474183801,2598.131697795,2599.5544720686,2591.7565519444,2579.0144065277,2552.2861584673,2527.7045845716,2512.6545849698,3148.3266133291,3150.4952278002,3151.4654436831,3156.7337586318,3174.0886172237,3203.9578861271,3244.3638737912,3242.3333455179,3233.0929433199,3218.9926803776,2823.8604332582,2857.235261138,2874.8587750198,2879.7978062264,2882.2425613218,2907.9643169187,2912.3093442168,2908.3138210528,2892.4695600198,2868.4290153269
ɮ,iteɮijg,one,f1,387.3543109846,561.459367742,649.2811159417,384.3248959875,632.806466654,1260.5313300162,1488.1718302482,1460.3848386702,1105.4435121577,887.4433131997,2372.049834739,2369.136928119,2317.2851144382,2122.1455348665,2169.8150762733,2422.6173572564,2607.0476010568,2613.8425866715,2610.0542657407,2645.7031933781,3167.8652812278,3342.1285987778,3202.8677401986,2876.6594824191,2923.015027408,3090.8904199382,3315.0631119374,3361.1441698087,3342.9702866041,3341.3108229714,2769.9575579834,2893.8340767038,2636.3262739602,2507.6648402578,2528.4878185195,2702.0938246258,2961.0553564971,2975.699071736,2966.6876763465,2947.803520117,416.8372232188,328.5545466163,305.0674839463,299.6199063371,301.3455795342,304.8362687638,314.8898716711,315.0479727092,310.5137096465,299.8497117299,2750.7391943553,2750.6591011545,2739.9352004627,2713.1933801465,2701.3355184561,2700.4528189693,2704.4707755369,2716.8899685994,2728.8623182726,2719.4658661443,3429.3297360426,3537.4824343532,3545.1409457919,3532.2945901884,3535.3668400046,3554.5165822901,3581.4337917273,3574.1158196334,3534.1403120112,3321.0742542052,2970.7297561861,3050.4380983387,3089.0560596138,3097.2023817339,3102.3466842745,3123.6578669012,3143.115534365,3145.174829765,3129.6251965259,3056.0975180783
a,ʊːʦ͡aːrʊːɮ,one,f1,804.6516793174,854.6596365411,1016.0351413745,1015.2891274625,995.3123723811,997.5653177561,975.124953779,872.5638154132,872.3366410034,882.9061168832,1657.3839759398,1660.3835133629,1649.6463469475,1618.2878654024,1308.1648285231,1257.5511762357,1349.0805409687,1382.5531408908,1409.5812940277,1420.3934594112,2970.9166294102,2932.0543548135,2846.3330664815,2870.7743200405,2599.0946455147,2739.0000742189,2802.5596203455,2827.9344538097,2811.5536053678,2634.2895388032,2312.7588462527,2298.453145942,2241.7124795997,2248.1429325375,1961.7053121812,1977.1431436483,2079.007069661,2100.4261357658,2116.3440631672,2022.9090233299,679.5004644788,652.6753604299,616.0032575895,591.8754353447,589.7714736416,580.3077512621,565.321762837,565.2866231107,565.0003835645,520.1844372056,1496.6896304919,1219.0668267567,1093.2862458063,1087.0657876768,1116.131394846,1123.8628541939,1147.226769183,1183.2603485603,1186.4549753732,1213.8957350468,2636.0639141901,2325.0219310697,2353.6557181155,2586.9512154876,2763.8171244515,2791.5797797371,2803.479675486,2806.8461070487,2802.2426400596,2905.9065610495,2068.5268916228,1799.3079984622,1746.0992661889,1812.6273045184,1952.7379925265,1965.0630563084,1969.9944988601,1988.3393441479,1985.681224193,2174.3238158882
t,e(i),one,f1,1178.9110375839,1161.1176627083,1060.9518914713,936.3453696325,816.3828270221,728.4511268637,640.5194267052,573.7902638483,529.840893501,485.8915231537,2589.8963726759,2590.6749133041,2591.4534539322,2592.2319945604,2592.9181519756,2592.9671161577,2593.0160803398,2593.0650445219,2593.114008704,2593.1629728861,3424.9589273543,3387.1304898025,3347.5399306143,3307.4265315265,3269.9807128928,3250.9339535689,3231.887194245,3222.8633473786,3224.6080166985,3226.3526860184,3113.4678925526,3102.2261979727,3078.1173657256,3050.1907193007,3024.3309697676,3012.7271945722,3001.1234193767,2993.9489092534,2991.5331569089,2989.1174045644,461.1175663019,412.4974162865,391.2064707019,377.9158973078,372.8906624418,372.7551066976,372.2967672831,367.9348571276,367.1436731605,367.1830339075,2601.2367213697,2646.5493389523,2697.8973394027,2696.6804636323,2674.1777555213,2639.9607623335,2611.9298333923,2602.014120198,2572.2059289894,2272.3495772551,3224.6178497196,3217.6435193478,3205.1167409708,3190.4216064971,3179.2753062922,3138.1777904888,3085.4564419441,3031.4916664275,2979.3218745577,2955.0141598155,2989.6626707962,2991.0082124463,2989.2034280688,2984.6337707595,2940.412596177,2867.2129393632,2844.565968515,2834.7295287878,2811.0704036705,2770.2730454658
ɮ,g,one,f1,396.891606623,391.79624308,298.9226655067,300.0245345208,360.5127028901,1740.9737679667,1833.7930517694,1394.579749188,1087.2271458323,1073.4113381783,2206.4877791559,2060.2380405781,2128.418239007,2270.7004304968,2130.3150561061,2102.3052497345,2153.2086441095,2133.1086270736,2147.389245064,1714.5775032692,2935.2260276022,2930.9640670379,2905.1803504603,2891.2009396635,3046.2934381952,3354.2147784423,3406.1285966294,3303.4975362976,3261.6665256076,3113.2690789614,2635.1000220442,2492.293524948,2532.0445476997,2572.3917620944,2590.1995817183,2724.0086474613,2681.8965491393,2620.2487005265,2545.3102433147,2309.7061456985,1030.0094702597,995.5385026935,961.0675351274,926.5965675613,892.1255999951,822.5241700086,750.2005924284,678.9330255631,610.6643694994,542.3957134356,1661.3747853418,1652.4389370394,1643.503088737,1634.5672404347,1625.6313921323,1597.9793394982,1568.8770278276,1523.3396337807,1431.1290901402,1338.9185464997,2995.561971096,2993.1012113,2959.9951195391,2906.0939472718,2852.1927750045,2798.2916027371,2744.3904304698,2692.2184082202,2644.9569106395,2597.6954130588,2260.5566277015,2247.4353832876,2234.3141388737,2221.1928944598,2208.0716500459,2173.6339447458,2137.5444948141,2081.7870209678,1970.1753322565,1858.5636435451
u,r,one,f1,495.3161334007,378.8971588557,355.0826301574,350.0065814087,349.9723236075,351.749705862,370.8962518437,390.6019429009,392.0765435038,393.8430168157,1262.1584274418,989.8462524765,963.799013593,914.4779041919,899.2964487161,893.8226267211,896.9382366702,949.252676678,1013.2527108559,1040.7366230068,2567.3614072363,2520.524812478,2527.6325598545,2646.322883251,2629.4136993715,2627.9165401976,2655.2890181937,2670.6199121249,2801.5566519087,2822.626432447,1807.6745894742,1760.3735988618,1755.4201728611,1776.3223802628,1764.4717146822,1757.3772700924,1774.1344238761,1811.1371352318,1933.1192287652,1948.8076204268,410.0913452239,531.0760128648,712.4358794447,605.3326592711,363.0971434811,297.7274808065,296.0254152331,301.9226637241,308.3919719777,380.2558344756,1190.7314324801,1472.1655054196,1684.7491707864,1612.373048436,1553.227539009,1533.6238513913,1522.07151927,1546.1406683015,1748.7488559519,2116.4478697996,2930.7203230548,3076.5631747443,3129.6915423338,2898.1501735321,2712.3190287477,2590.8889910267,2567.1777064236,2569.6126575747,2577.6697644613,2762.72042917,1988.5138803321,2240.7665455021,2414.206563109,2244.4005842983,2055.4343007731,2036.8593529328,2029.0235980107,2030.2115715352,2037.8676261113,2158.280810467
g,e,one,f1,883.8516668661,822.8533318248,761.8549967835,700.8566617422,675.28984546,658.6692537638,642.0486620676,625.4280703715,608.8074786753,592.1868869791,2376.4020506367,2381.6165617106,2386.8310727846,2392.0455838585,2397.2690733046,2402.4948297303,2407.720586156,2412.9463425818,2418.1720990075,2423.3978554332,2986.5914114823,2986.3775094056,2986.1636073289,2985.9497052523,2987.5790287441,2989.6737545239,2991.7684803037,2993.8632060836,2995.9579318634,2998.0526576432,2690.4293916348,2691.3887293216,2692.3480670084,2693.3074046951,2694.2667423819,2695.2260800687,2696.1854177555,2697.1447554422,2698.104093129,2699.0634308158,575.5662952829,524.4137094586,472.7044126267,432.2095493749,412.596606046,392.9836627171,457.8443966015,544.2164720971,630.5885475928,716.9606230885,2428.6236118589,2429.1390582257,2428.1336350993,2427.1282119728,2426.1227888464,2425.1173657199,2442.2485473241,2463.9982410246,2480.9938531551,2483.3129022058,3000.1473834231,3005.9501757283,3011.7529680336,3019.7631701773,3031.8836963203,3044.0042224633,3047.4581535248,3048.7051238672,3049.9520942095,3051.1990645519,2700.0227685026,2707.7110661819,2715.9474023588,2722.6970596919,2726.678435565,2730.659811438,2734.6411873111,2738.6225631841,2751.1374324509,2789.9964761365
s,e,one,f1,803.3326985842,1485.1976057862,1518.1733647917,1659.9086549791,1413.2819828785,1290.6000626093,1510.655400944,1307.9069475779,1068.129256561,982.7287143191,2485.6319512566,2578.6738242408,2362.1711616165,2287.6745220808,2238.719530456,2210.9082228245,2373.5277382313,2301.0292328867,2196.8273770587,2136.3011594866,3052.4460348943,3924.7142457613,3619.7969552601,3666.2246202544,3482.0309461091,3502.3025933888,3376.2885029363,3312.4770015108,3291.6569051134,3224.7381569287,2828.8555198222,3238.7961920445,3024.3698224802,2980.8280919752,2855.4838315605,2846.5318428907,2856.5816508358,2792.9561748726,2749.5767005552,2647.8101438564,407.1479284244,389.7643989351,374.6724188445,365.4581033445,354.9699423895,344.0933558176,334.5159945309,329.7441102316,329.010726683,328.767165896,1877.0450527877,1866.1963383396,1853.8320747791,1837.5805333106,1821.3289918421,1770.3604028849,1670.9661534256,1495.4218348103,1402.2511425202,1319.0714046995,2882.2760868875,2873.9736838543,2868.5800761475,2863.1864684406,2828.0948256994,2790.882143261,2756.08757561,2728.9924821244,2722.0040593706,2717.454339886,2383.5240904421,2375.4598121284,2366.6058468461,2355.7263894946,2344.8469321431,2295.7011132289,2209.7583153771,2092.6706931987,2044.8945271981,2005.5250276729
