"","filename","speaker","iteration","word","harmony_type","v1","v2","f1_v1_t1","f2_v1_t1","f1_v1_t2","f2_v1_t2","f1_v1_t3","f2_v1_t3","f1_v1_t4","f2_v1_t4","f1_v1_t5","f2_v1_t5","f1_v1_t6","f2_v1_t6","f1_v1_t7","f2_v1_t7","f1_v1_t8","f2_v1_t8","f1_v1_t9","f2_v1_t9","f1_v1_t10","f2_v1_t10","f1_v2_t1","f2_v2_t1","f1_v2_t2","f2_v2_t2","f1_v2_t3","f2_v2_t3","f1_v2_t4","f2_v2_t4","f1_v2_t5","f2_v2_t5","f1_v2_t6","f2_v2_t6","f1_v2_t7","f2_v2_t7","f1_v2_t8","f2_v2_t8","f1_v2_t9","f2_v2_t9","f1_v2_t10","f2_v2_t10"
"1","f01_frame_rep1","f01","1","ʧ͡ʰiɮger","ATR","i","e",274.87,2239.76,285.51,2247.4,280.74,2265.72,265.11,2291.58,302.3,2489.32,337.51,2641.16,355.1,2625.05,365.27,2685.88,370.52,2797.75,368.33,2663.3,1579.9,1825.52,686.93,1808.97,337.9,1793.63,381.55,1779.16,413.91,1708.5,441.53,1654.35,457.66,1669.96,469.37,1700.92,477.76,1743.48,479.43,1762.93
"2","f01_frame_rep1","f01","1","ʦ͡ʊːraːr","ATR","ʊː","aː",480.47,1626.38,523.19,1413.33,529.22,1287.78,510.38,1214.83,476.92,1129.34,436.49,1101.27,431.52,1063.65,430.49,1002.11,423.09,957.85,460.61,985.89,654.37,1403.09,676.62,1267.96,703.11,1189.9,739,1220.79,786.1,1383.82,797.89,1481.55,781.6,1513.7,793.89,1605.81,802.46,1695.13,749.8,1698.87
"3","f01_frame_rep1","f01","1","teɮijg","non-harmonic","e","i",822.89,2454.82,424.58,2497.02,362.05,2567.03,354.63,2618.05,357.06,2639.82,358.96,2606.17,360.68,2589.3,361.97,2586.93,361.86,2600.38,359.36,2568.34,899.34,2636.98,456.6,2574.73,277.85,2715.58,272.23,2989.63,278.37,2876.06,285.08,2746.61,289.12,2718.43,292.82,2701.29,296.18,2695.14,299.77,2681.54
"4","f01_frame_rep1","f01","1","ʦ͡aːrʊːɮ","ATR","aː","ʊː",750.64,1631.63,923.27,1673.49,1051.92,1635.74,1007.12,1614.59,974.97,1590.28,1052.98,1173.48,994.99,1257.37,903.1,1407.24,857.33,1398.89,907.76,1198.72,695.59,1673.15,638.43,1133.5,596.64,1038.19,583.32,1044.3,588.26,1067.57,588.54,1141.82,580.6,1148.92,546.23,1132.45,548.53,1146.79,574.11,1182.07
"5","f01_frame_rep1","f01","1","teɮguːr","ATR","e","uː",316.55,2547.08,349.15,2560.84,363.59,2629.21,366.04,2733.68,369.52,2784.24,372.68,2808.97,372.76,2720.71,372.77,2651.65,372.65,2611.16,370.24,2588.07,283.41,1294.33,339.32,1018.35,347.35,950.92,343.33,915.27,348.66,902.81,353.14,884.12,360.01,876.44,381.47,897.64,395.15,980.94,394.09,1023.85
"6","f01_frame_rep1","f01","1","xɔjor","non-harmonic","ɔ","o",888.94,1241.04,581.33,1176.63,504.51,1156.99,593.27,1179.05,609.97,1251.94,615.8,1366.3,604.28,1503.46,555.81,1653.14,525.35,1784.32,483.94,1921.55,498.86,2010.91,504.49,1963.17,510.29,1911.05,514.18,1855.74,512.44,1810.6,506.82,1807.86,544.59,2012.7,789.65,2088,1340.81,2661.63,1855.12,3302.21
"7","f01_frame_rep1","f01","1","teɮger","ATR","e","e",445.33,2409.45,377.69,2457.79,369.1,2501.36,375.39,2536.06,376.23,2536.77,376.32,2568.12,375.86,2621.8,375.29,2625.31,372.14,2608.67,364.61,2560.07,1191.92,2191.67,282.83,1839.87,334.71,1829.31,370.41,1807.35,395.13,1791.06,408.39,1797.4,418.27,1793.54,426.96,1802.47,434.6,1828.1,435.85,1836.83
"8","f01_frame_rep1","f01","1","suɮijg","non-harmonic","u","i",1883.33,2788.7,1869.33,2710.24,1626.44,2609.43,510.43,1737.23,343.66,1546.09,355.1,1503.79,360.46,1502.42,364.1,1557.95,363.51,1614.13,353.43,1732.5,698.25,2408.46,314.21,2466.63,324.42,2564.05,325.02,2576.87,324.54,2561.27,334.53,2579.51,339.33,2619.69,345.65,2655.12,356.51,2674.1,360.95,2691.71
"9","f01_frame_rep1","f01","1","taɮiːg","non-harmonic","a","iː",563.95,1913.18,797.11,1822.48,872.19,1719.44,933.93,1688.99,949.36,1621.37,960.38,1569.68,902.11,1555.75,853.51,1451.4,823.68,1383.91,729.99,1337.23,1315.27,2581.67,722.79,2465.6,461.35,2593.41,466.65,2679.99,467.51,2694.81,473.51,2713.23,469.14,2718.08,449.88,2661.24,403.22,2469.44,438.57,2726.9
"10","f01_frame_rep1","f01","1","teɮeːr","ATR","e","eː",396.51,2570.07,354.24,2599.07,361.94,2628.06,369.49,2663.65,373.45,2693.84,374.7,2719.96,375.53,2697.1,375.66,2676.53,374.07,2671.57,370.91,2629.03,581.45,2535.24,426.38,2591.77,448.23,2635.6,464.08,2628.1,472.43,2595.7,482.15,2603.83,489.26,2471.06,489.99,2087.45,485.02,2057.43,476.81,2333.02
